Feature importance (mean abs value of shap-value),Model-impact of points with high-value features,Model-impact of points with low-value features,Feature name,matrix,polarity
0.3093445128363716,0.132826751229078,-0.009340691353232138,pka_strongest_basic,DAN,positive
0.30677331782923156,0.05086923049537144,-0.0046527657620230615,1057,9AA,negative
0.3031067656818777,0.009737843842900945,-0.0011100602536070218,378,pNA,negative
0.302590066944462,-0.17168722562741087,0.011337269365501994,1716,DHB,negative
0.3012148049995786,0.05694088364360694,-0.003932497685764737,acceptor_count,CHCA,positive
0.3010622088375114,0.09203329299596945,-0.0066704457622993405,1849,NOR,negative
0.2999205868409428,-0.08524026766588651,0.005886676400583118,physiological_charge,NEDC,negative
0.2986169838550268,0.009737843842900945,-0.0011100602536070218,1057,pNA,negative
0.29707637881757293,0.21659447665890322,-0.01515630065333593,1380,DAN,negative
0.2955456504767591,0.07438447142981604,-0.0054482203333231245,pka_strongest_acidic,CMBT,positive
0.2940926633638107,0.21659447665890322,-0.01515630065333593,650,DAN,negative
0.2940733109459733,0.06611216320265549,-0.005006697266834522,80,NOR,positive
0.29265023482477537,-0.01780447031260806,0.0011589427818431773,polarizability,MAPS,positive
0.2884007561724724,0.132826751229078,-0.009340691353232138,80,DAN,positive
0.28545010046450636,0.21659447665890322,-0.01515630065333593,656,DAN,negative
0.2847633459033783,-0.08524026766588651,0.005886676400583118,polarizability,NEDC,negative
0.2780218812129037,0.05322133102288993,-0.0038073421769682344,physiological_charge,DHAP,positive
0.27545100990118404,0.07438447142981604,-0.0054482203333231245,695,CMBT,positive
0.27493809834122657,-0.08524026766588651,0.005886676400583118,695,NEDC,negative
0.27402217349991564,0.05694088364360694,-0.003932497685764737,1171,CHCA,positive
0.27282112841353273,0.07438447142981604,-0.0054482203333231245,1917,CMBT,positive
0.2726678128946451,-0.01780447031260806,0.0011589427818431773,acceptor_count,MAPS,positive
0.2718366774194168,-0.05747009833784845,0.0037810173692447457,physiological_charge,NEDC,positive
0.27180012488063493,0.05086923049537144,-0.0046527657620230615,650,9AA,negative
0.26804445025745344,-0.02396147813242467,0.0016470926031816456,1171,DHAP,negative
0.2677504592208248,-0.08524026766588651,0.005886676400583118,1380,NEDC,negative
0.2623481837472592,-0.17168722562741087,0.011337269365501994,1750,DHB,negative
0.26214917916197167,0.09203329299596945,-0.0066704457622993405,786,NOR,negative
0.259535957527764,0.05086923049537144,-0.0046527657620230615,80,9AA,negative
0.25882466290936323,0.05322133102288993,-0.0038073421769682344,1917,DHAP,positive
0.25802490985638066,-0.02396147813242467,0.0016470926031816456,pka_strongest_acidic,DHAP,negative
0.25670236109665806,-0.04862582156147913,0.0036256023499807244,pka_strongest_acidic,CMBT,negative
0.25613829500379004,-0.02396147813242467,0.0016470926031816456,486,DHAP,negative
0.254359807977392,-0.17168722562741087,0.011337269365501994,1819,DHB,negative
0.25237596782347177,0.21659447665890322,-0.01515630065333593,80,DAN,negative
0.25179470650760866,0.05694088364360694,-0.003932497685764737,1019,CHCA,positive
0.2503722511570562,0.0700933034387825,-0.004032991241960037,695,DHB,positive
0.2496454577245142,0.09203329299596945,-0.0066704457622993405,650,NOR,negative
0.24792718487142612,0.05322133102288993,-0.0038073421769682344,1564,DHAP,positive
0.24791602976620197,-0.007808444041996976,0.0005194308128702205,physiological_charge,ClCCA,negative
