,observed_value,prediction,regressor,name_short,matrix,polarity,fold,iter_index
285,0.0,3.4054349117945324,MLP,Ribulose,9AA,positive,7,0
286,0.0,4.134012195282164,MLP,Serine,9AA,positive,7,0
287,0.0,3.744502264386609,MLP,Succinic acid,9AA,positive,7,0
288,0.0,3.630728050501078,MLP,Thymine,9AA,positive,7,0
289,0.0,3.150554316534816,MLP,Uracil,9AA,positive,7,0
290,5.007917180811387,2.915247830908645,MLP,Propionylcarnitine,9AA,positive,8,0
291,3.536423146343019,3.930955208321972,MLP,Prostaglandin E1,9AA,positive,8,0
292,3.7775962294452263,3.814023610199744,MLP,S-Adenosylhomocysteine,9AA,positive,8,0
293,3.095665314980533,2.907209358050475,MLP,S-Adenosylmethionine,9AA,positive,8,0
294,4.986752623858816,3.388876044681788,MLP,SM d18:1-16:0,9AA,positive,8,0
295,3.2822390738927743,4.293990876738616,MLP,Spermidine,9AA,positive,8,0
296,0.0,2.958321800680173,MLP,Serotonin,9AA,positive,8,0
297,0.0,3.03899784260302,MLP,Sulfo GalCer 18:0(2S-OH),9AA,positive,8,0
298,0.0,3.392758580790129,MLP,Taurine,9AA,positive,8,0
299,0.0,3.1751924183323714,MLP,Taurocholic acid,9AA,positive,8,0
300,0.0,2.9571404872417144,MLP,Ureidosuccinic acid,9AA,positive,8,0
301,0.0,3.0403798886235007,MLP,Uric acid,9AA,positive,8,0
302,0.0,2.937608987573641,MLP,Uridine,9AA,positive,8,0
303,0.0,2.927056405551859,MLP,Uridine diphosphate,9AA,positive,8,0
304,0.0,2.921098595446529,MLP,Uridine diphosphate glucose,9AA,positive,8,0
305,4.877271833226356,2.9711128153016366,MLP,Riboflavin,9AA,positive,9,0
306,1.2166864004219589,3.4659835282975004,MLP,TG 15:0-18:1-15:0,9AA,positive,9,0
307,4.079660655618825,2.970967763668877,MLP,Tetrahydrofolic acid,9AA,positive,9,0
308,3.3934654839929106,2.972865185767497,MLP,Thiamine,9AA,positive,9,0
309,1.5879780805726431,3.007987801358773,MLP,Tryptophan,9AA,positive,9,0
310,2.206230133501576,3.104364260412228,MLP,Urocanic acid,9AA,positive,9,0
311,0.0,3.017468690265357,MLP,Tyrosine,9AA,positive,9,0
312,0.0,3.228961315369822,MLP,Uridine diphosphate glucuronic acid,9AA,positive,9,0
313,0.0,2.977282688021358,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9,0
314,0.0,3.0109328334195986,MLP,Valine,9AA,positive,9,0
315,0.0,3.012848559328537,MLP,Xanthine,9AA,positive,9,0
316,0.0,2.9708672221870662,MLP,alpha-tocopherol,9AA,positive,9,0
317,0.0,3.1551134411144104,MLP,cis-Aconitic acid,9AA,positive,9,0
318,0.0,2.9715481485899256,MLP,gamma-Aminobutyric acid,9AA,positive,9,0
319,0.0,4.062085725950131,MLP,myo-Inositol,9AA,positive,9,0
320,3.173298237829419,3.1405283808161344,MLP,2-Oxoglutaric acid,CHCA,negative,0,0
321,3.273381570635653,2.9380668191656287,MLP,3-Phosphoglyceric acid,CHCA,negative,0,0
322,3.4525978690783834,3.1178416932516995,MLP,"4,5-Dihydroorotic acid",CHCA,negative,0,0
323,2.941372351658768,2.8299050421522063,MLP,6-Phosphogluconic acid,CHCA,negative,0,0
324,3.992240545175011,2.9398342368979224,MLP,Acetyl-CoA,CHCA,negative,0,0
325,4.526201599728994,3.1833304126778867,MLP,Adenosine diphosphate,CHCA,negative,0,0
326,1.3894938972636084,3.059670137947161,MLP,Arginine,CHCA,negative,0,0
